name,title,desc
jackwotson1111,I have used BEWAKOOF for a few months.,I have used BEWAKOOF for a few months and I am still in love with this online shopping app.
ashankyuvrajpatil,Worst Experienced with bewakoof,"I had ordered a tshirt with customize edit, it was under approval from last 10 days. Then i mailed them as there help bot was always on outofservice duty. They replied me that it is under process and will be shiped, but till now it is not shiped so i mailed them again and again they said we will check the status. Again for third time i mailed them they said customization will not be done and ordered has been cancelled and refund will be processed but in orders still it is showing under approval and no cancellation has been processed."
liliv92898,I am very pleased with my last purchase and order,"I am very pleased with my last purchase and order. BEWAKOOF has quality t-shirts that fit me perfectly and I love the color as well. I thought it was a bit too expensive, but after wearing it for a few days, I think it's worth the price."
gkakshay007,PRoduct quality is really good,"Good products, prints are really unique, worth buying products from this site than myntra and Ajio, ."
ankitab348,Amazing quality and quirky styles!,"The styles are amazing, extremely trendy designs and quality wise also its great. Very competitive pricing!"
meenakshitj,Great options!,Bewakoof has a great variety of products and I love how there are new t-shirt designs every day! Love to see such quirky prints at such low costs <3
virojo6017,That’s the greatest thing I would say.??,AWESOME QUALITY OF THE PRODUCTS. I just thought of adding a review about how great this app is.
mepallavi0,Absolutely Loved the Couple T-Shirts!!!,I buy t-shirt for me and my bf and he just love the t-shirt. I've bought couple t-shirts which are good quality and pocket friendly. And also I love the prints on the clothes.
lkkei619we,I am in love with this t-shirt!,"I am in love with this t-shirt! I got it for my girlfriend and she wore it to the party, and now she's wearing it on a Friday night."
ai_sahab,Literally it's making us bewakoof,"Recently I have ordered T-shirt. It was received damaged and had puncture at one place. When I request for return/replacement, it was rejected citing tag was not there. Surprisingly courier boy did not come , still they were sure tag is not there. Yes Tag was not there and I have received the same way."
seriyis201,Best online store for clothing and accessories.,BEWAKOOF is by far the best online store for clothing and accessories.
usrajpurohitoffic,Clothes are not so skin friendly,"I bought 2 pant and 3 t shirt fullsleeve, , , quality was low, , , photo of product was amazing, but not so skin friendly, , , please"
praniths,Awestruck by Bewakoof's products,"I just have one word to express about this brand regarding its quality, collection, t-shirts, and delivery. It's outstanding! The designs are unique."
ayandevmusic,Quirkiest eCommerce Store out there!,I have been using Bewakoof products since I was in college and haven't stopped since because of their relevant designs and pocket friendly nature!
Ravii529,It's so catchy! I juts love T-shirt.,I bought one of their tees a few months ago and the quality is second to none. It's super soft and has withstood many washes. I love graphic design too. It's so catchy!
poojavediappan,Worst Quality Products,I ordered two Glass phone cases one for 1+ and the other one was for Samsung which was priced at 499 per case. When it was delivered it looked like a very cheap case and i returned both. Again I ordered a similar designer hard cover for both the phones and one was faded and the other one looked good. I did not have the patience to return the case and order a new one and so I started using it. Just in two weeks the case broke!!!!! Don't ever buy any products from them. It is of very low quality.
naushingreat,Still waiting for my phone case,I ordered a phone cover.  Its been a week past the delivery date. The initial customer care response was they will resolve it withig 2 3 days. Its been about a week but still the status of the order is not yet shipped.
Voiceup,Not worth the time and money,"I ordered during the black friday sale on 26th Nov 2021  and the delivering date was 30th Nov 2021 , since then am waiting for my Order. Horrible customer service and pathetic delivery partner. After continous follow up with their customer service team I received an update which was, one of my order is misplaced by logistics and the second order is not traceable. When i asked for refund in my bank account they credited my bewakoof wallet. Seriously guys!!! Now they want me shop again and keep tracking the orders. Crazy itsnt it....Feel trapped"
ayeshanikhat27,BEWAKOOF IS MAKING CUSTOMERS BEWAKOOF,"I am writing this review to request everyone not to buy anything from Bewakoof.This App is fraud.I ordered 2 products in Nov and was due on 5th Dec 2021.Today it 12th Dec and status still shows ready to ship. When I am trying to cancel order, it says you cannot cancel.I wrote to their customer service, no reply.I mean this is just pure BS.Wish there was a zero or minus to rate."
ankit24jha,Bewakoofi at their max,Delivery is a big issue with bewakoof. For them delay of 15-20 days is a normal thing. They will keep the product for 20 days in local godown but will not deliver it to customer. I really don't know what fun they are getting out of it.
joymndl91,Refund,Maine doo product ek sath order kiya.. Ek too delivered hua 14 din baad. Aur dusra product shipped nahi hua 4 din se too Maine cancel kar diya..10 din ho gaya refund nahi mila.. Aaj kaal kar kar K ghuma raha hai.. Bewakoof sach mein logo ko bewakoof bana raha hai.
90nidhikapoor,STOP FOOLING PEOPLE,Bewakoof as the name suggests you guys are making us FOOL. You think we are mad. We use hard earned money to do online shopping. In this pandemic situation almost everyone is using online shopping as we trust in the brands and believe our money is not wasted or we are not fooled.
elatecrmindia,Stunning Kurta collection they have,"I have recently purchased a couple of kurtas for my father as he wears them frequently from the official website of Bewakoof. The quality has come out to be extremely good to my surprise. Also, the budget that I had kept in my mind was fulfilled. Therefore, I would state that this shopping website is one of the best websites in India for purchasing clothes of every kind. The best part is the addition of health and beauty care products to all the ever-growing collections of clothes. This has given more agencies to people to choose from so many options. So, I would surely recommend all my fellow customers to shop from Bewakoof.com."
rjtalwar9818,Awesome products with various offers,"Value of money! You must try this site if your are looking for great t-shirts. This is not the first time that I have purchased something from Bewakoof. It’s been quite some time and now I am a regular customer at their shopping store. Keeping the intense summer in mind, I thought of getting my hands on some modern-day printed Kurtis that I can either wear to my office or on various occasions. I wanted something basic and classy so that there is no need to do extra when it comes to dressing up. Bewakoof gave me the agency to try out the best Kurtis which are not only comfortable to the body but also are extremely pocket-friendly. I got a handful of Kurtis at a price range, one cannot even imagine. Along with that, I enrolled myself with their Tribe M embership, so that I get instantly notified if there is a new ongoing sale or offer. My experience has been quite pleasant here."
affiliateassest,Great product,"I have seen many reviews regarding bewakoof, most of them were not good, but when I ask 4 friend and they were telling positive feedback regarding the Bewakoof, I was bit confuse whom to trust. Then I decided to give a try. I order the t-shirt from them. After receiving the product which delivered on time as approx given. product quality was good. overall my experience was good. But still people are complain about them negative in the reviews."
malhotrakanika03,Great Product No Doubt,"I have recently purchased a few comfy t-shirts for this simmer season from bewakoof for the first time. I was also in doubt of product quality but my shock the product have came out to be good. I was looking for the good texture t-shirts so that even in extream hot weather, I feel comfortable wearing it. This time I also got some discount on my purchase t shirts. So personally this has been a great experience from beginning to end. I am now looking forward to getting some winter collection for bewakoof. Now I am going buy some hoodies & jackets."
churchillyadav1,Worst customer service like EVER,"Using bewakoof.com has prooven to be a great mistake from my end. I placed an order of nearly 2k on 2nd of July for a friend's birthday which was on 10th. I paid it online and kept waiting for my delivery. Surprisingly I am still waiting for it after almost a month. My products were never delivered to my location for 10-15 days and then it said that it was returned to the warehouse. I have written several mails regarding the issue to bewakoof support team getting many ticket no.s as response regarding which  no one has ever contacted me and thet close the ticket just like that from their end.  I pleaded, I argued, finally i threatened that i'll file a complaint against the firm, but even then bewakoof gave no fk to the issue i was facing. Till date i can see my order in warehouse and my money with you guys."
saitfiroz,Worst e-commerce experience,"They make you feel like bewakoof, name suits them very well!"
sathishkalloor,"Perfectly Named, Caption ""Making people Bewakoof""","I had purchased few tshirts and joggers from them. Returned few defected products and some due to fittings issue. They never refunded the money and gave a code which we can use only for selected items. I tried the code 2-3 times and it was showing invalid. Their delayed customer services came up with new reasons every time, when I understood this is a fraud website and they want to loot money from public. & Worst part they dont have any customer care number where we can talk to someone responsible. Never Purchase from here."
priyankasony74,Waste app,"Never expect for refund back in this app, waste worst worst and I'm I can blame all the app members for their fake app"
pallavikumarinaya,Refund related,Hadd hai delivery boy kab ka product lekr chla gya fhir bhi mere paise abhi tak mujhe nhi mila or email kiye to msg aaya order pickup nhi hua h kyu sbko pgl bna rhe ho mera refund mujhe cahiye
rajyashreeagarwala,They genuinely make you a Bewakoof!!!,"Against my order 42229288, wrong product was delivered on 2nd May 2021. Instead of women's tshirt a men's t shirt has been delivered. Images are attached."
chandakumari1508,Fraud,Fraud company didn't receive my cancel product amount . I request you to not go with aap . Firstly don't
niteesharma5,Fraud,Not returned my money no exchange is allowed.
rsaravanan613,Wonderful purchase,Good clothing material.
ashmitkumarjsr123,Best,Nice website you must shop from here. It gives a best quality product in very less price. I have purchased 2 hoosdies and both are more than expected. So you should check it out
bhuwanvats30,Didnt get refund!,BEWAKOOF APP IS TOTALLY FRAUD IN CASE OF RETURNING MONEY
nitinkumardeshmuk,Bewakoof,"So I bought a tshirt from bewakoof day before yesterday, basically in bewakoofs tshirt i liked the most is that the bewakoofs tshirt is having sarcastic quotes which looks good and funnier too. Overall the product is good as per its quality and design, also they have sent a small gift with the package, which is also the best thing because it makes me happy."
maahiskr1979,They Make Bewakoof to their customers every time,I purchased a lower from Bewakoof three times. Every time the price was higher from old order (for the same product).
avinashkrchintu,Product quality is worst,I have recently bought one jogger from this site and the quality is just got worsen after one wash itself and also the customer care is too pathetic to response.
anjalibharataurora,Payment refund,I hav been mailong bewakoof for months bt they not refunding my amount.  Keep saying they have sent it by Paytm when i dont use paytm.  ????????
eeone7,WORST E-COMMERCE WEBSITE EVER,"I still wonder how this company has survived all these years when it doesn't care about it's customers even a bit and they are ZERO on customer service, delivery timelines and reliability. I ordered a Tshirt and it was obviously delayed by the courier company which is nothing new on bewakoof's part. When I wrote to their customer care, they never responded back. I sent them several emails but they did not care to respond to one email. They didn't even bother to follow up with the courier boy when I told them I was unable to get in touch with him and today I saw my message that my order has been automatically cancelled. You are better off buying from Amazon instead of this shitty company!"
abhirex786,Galaxy blue fleece zipper hoodie review,"Bought it from bewakoof and i loved it , this is a genuine review its t shirt have been always good but i had never tried jackets, so was in a bit confusion while ordering but since the jacket seemed very nice and exactly the type i wanted so i ordered and its really very very good, yes one thing i marked is i ordered small but still it's a bit loose(not very loose), overall i love the product and you all should go for it, thumbs up from me"
Bikash887,Very Good Quality,I brought a t-shirt and the quality is very good.
sarfaraj9212,Very poor service,"Went on the phone cover yesterday from bewakoof, but they have such poor service during this pandemic. Courier Boy came to deliver the courier without wearing a mask which Can be very dangerous. Service is very irresponsible. Oder id 36577412"
koushik_smart,Pathetic Customer Service,The worst e-commerce site ever with no customer service support. You buy at your own risk. If lucky you might get the product but if not then just deal with it.
thakurneeraj14,Not good for loyal customers,I have made many purchases from bewakoof.com and have a membership also. i have made a purchase few weeks back and today the product is heavily discounted. I have asked for the store credit of the product price difference but they said cannot be done due to it being a regular practice of change in prices for ecommerce. Please see attached reply
jordandeo0,Classi Product  with Cool Desing...!,I had a very good shopping experience at Bewakoof.
jpooja,"Awesome Designs, Awesome Quality!!","I recently purchased a T-shirt Dress & a T-shirt from Bewakoof.com,  product received is the same as shown on the site & I loved it's quality too. I really find shopping at bewakoof worth as prices of their products are low & quality is good. You rarely get such brands to see. I think is a reliable brand & I love shopping from here."
nimmyks3,Nice experience,"I have ordered for a tshirt in Bewakoof for my brother, and it was really amazing, and I received on time, and clothes are too good. will buy again . Thank you."
mneelam16,Jet Black Fleece Zipper Hoodies,"Order Jet Black Fleece Zipper Hoodies, got in Rs.699/- only, good quality, just order 1 size big, fit me well, they given me little diary as gift. plz check length at the time of purchased."
anchalansuchauhan1,Really bad,Bewakoof makes you bewakoof ( a fool) .this is a ap I suggest to many people earlier because I saw there really good clothes for men specially but as I already mentioned bewakoof makes you bewakoof.and it happen with me I ordered two t-shirts from their and they deliver it after 1 month of time.seriously what a low customer care servies.and then the product was hilarious the quality was rubiss.never gonna buy anything from this site.i will recommend you don't go with pictures.don't use this app at all
shwetaag03,Bewakoof.com !! Bewakoof banane m kamyab,"Online Shopping: Buy Men, Women Fashion Clothes, Accessories - Bewakoof.com(https://Bewakoof.com) is actually proving their brand name and fooling people around. I bought few products but have to return some of them. They processed refund of the products not picked by them and vice-versa. After putting 8 reminders on e-mail(thanks to their operations team as they do not have any contact number) with no response. As a last resort, reported to Consumer forum. Even after that, they took 15 days to understand the issue and at the end shoved the refund amount in wallet. So yes, as per my experience, Online Shopping: Buy Men, Women Fashion Clothes, Accessories - Bewakoof.com(https://bewakoof.com) bewakoof banane m kamyab hua. Boycott Beware. Satarak rahe! Savdhan Rahe! Surakshit Rahe!"
sunil90narwade,Bewkoof is really bewkoof don't shopping on it.,Don't buy anything from bewkoof.com they are totally doing fraud business with there customer.I have order product and I wanted to exchange that product but they don't have customer care number and support also not responding on mail there curior boy also giving wrong feedback once you return the product and due to that I am unable to return my product.
vickyr1326,Bewakoof.com review,Bewakood I appreciate your unique design. infact I have purchased 3 t shirt. but after one  wash the color faded and t shirt got dull.
shankdharvaibhav5,Screwed up my first order,I ordered a back cover for my phone...  They sent me a totally different one which is for a completely different phone...  What is wrong with these people?
panwar863,Beware of this site.,Saw the ad of this site when I was on Facebook. It was in may 2019. I made an account to purchase a tee shirt but after reviewing decided not to buy from this site. Since then I have been getting messages on my phone as well my email id inspite of unsubscribing from the site and requesting them several times to delete my account  by mailing them since they do not have customer care number. At last in November I threatened them to go to court. They stopped for while and then again started sending messages on my email id. Really sick of this site.
truptilad09,Best experience with tiny complimentary gifts!!,A very good experience. I bought small backpack from them which is really good in quality. I got my product before 2 days of the delivery date. Also best part is on every parcel they send you some small gifts which is useful. This time I got a small notepad.
SimbaS,Waste of money?,"This shopping site is totally a scam. First of all they don't launch clothes in all sizes. For example a women shirt is available only in XS size and not in S, M , L and XL and after few minutes of launch it will show that the shirt is sold for all the sizes.  Also the delivery takes pretty long time as compare to other shopping sites. After so many mails they won't reply. And even if they answers they will give excuses mainly that they have warehouse issue saying they have huge demand which is totally an excuse not a reality. And if you force them they will ask you to cancle the order so that they won't have to reimburse you for their fault. The quality of their products is pathetic. Also their customer care service is worst. They don't have contact number. Their shipment and delivery is also horrible. Also their refund policy will give you headache. Not at all recommended."
jeevankemisetty,Order ID 31333170,Its been a month  I paid the money. Didn't receive the product. The customer service is providing bleak answers
buntynirman630,Online payments regarding,I place my order which is tshirt than my payment is online paid but the delivery boy say that your payment is not done .which is bad experience to bewakoof 9780080898
RatnanjaliMunnangi,Online shopping at Bewakoof.,"Bewakoof is an online shopping website for clothing, bags and  notebooks. The speciality here is the prints. The texts and the logos are printed on solid colour clothes."
dharshinime314,WORST CUSTOMER SERVICE,Guys please be aware before you book any products in it.
shelke.abhijeet,Poor customer service and poor T shirt quality,"Hi,"
g9862571700,Yallah haters,Too many bad reviews about this app.I think those who downvoted this app are kinda dumb smelly people who know nothing about clothing.Yes the delivery takes time but the product is always worth it.If anyone is seeing this dont really go on the bad reviews about these app.False rumours everywhere.
Exposer108,Poor Quality Clothes,"Hello Everyone,"
balafeb26,Worst service. No refund,Bought a t-shirt from Bewakoof.com one month back and it didn't get delivered on the expected time. It got returned its own and still I am waiting for my refund amount. Made many follow ups through email and no response from the team. They do not even have a customer support telephone number. What they have is a crap chatbox where it won't allow the customer to write their actual complaint instead it has some predefined queries where we have the option only to select from it. Never going to order from this site again. It is just a fraud website. Giving 1 star as there is no option to give 0 star.
shwetakataria86,Poor customer service,"Very slow customer service they have, they pick the product in"
TanumoyBanerjee,Nightmare delivery service,Ordered a cell phone cover 12 days ago but still no clue if the product is ever going to arrive. Luckily I chose to pay on delivery. Ridiculous platform with no customer support ever. Seems like a total fraud.
saikatmo63,Fraud app,"My name is Saikat Mondal , i have returned my parcel 6th September at the time of 12:56 courier's phone no is 8777871211. But i didn't got refund till now in my  wallet, my order id is 29586348. There is no contract no. I have already send mail 5 times but didn't got any reply from bewakoof app. So, This apps is totally fraud app ."
sagar293,Useless Site,"They take ages to ship the goods. After making payment, received the item after 2-3 weeks."
