pull-right,profile-img href,b-lazy src,b-lazy src 2,user-ms-name,user-ms-name href,usr-addr-text,total-rev-counts,total-rev-counts href,total-followers-counts,total-followers-counts href,col-10,col-10 href,rating,views,rating 2,rating 3,rating href,label,more,more 2,more 3,flag-review-text href,flag-review-text src,share,share 2,share 3,share 4,share 5,rc src,like-image-new src,rar-rate,tooltip,comment-image-new src,comment-clk,share-text-icon src,share-text-icon,btn,btn 2,btn 3,tooltip-content,b-lazy src 3,tooltip-content 3
Reply as Brand,https://www.mouthshut.com/selenophilekari24,https://www.mouthshut.com/Images/COMMON/female-80X80.gif,https://image3.mouthshut.com/images/Offline/Common/Images/Badge/beginner.png,selenophilekari24,https://www.mouthshut.com/selenophilekari24,- India,25 Reviews,https://www.mouthshut.com/selenophilekari24/reviews,,,Making fool customers,https://www.mouthshut.com/review/bewakoof-review-rtorqqomnnp,"Mar 31, 2024 12:55 PM",727 Views,(via ),Android App,https://www.mouthshut.com/app,Response Received,Their intention is not Good. They fool customers. I don't think it's a good thing to buy from bewakoof.,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/thesinghneha1991,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,thesinghneha1991,https://www.mouthshut.com/thesinghneha1991,India,1 Review,https://www.mouthshut.com/thesinghneha1991/reviews,,,Worst experience with bewkoof,https://www.mouthshut.com/review/bewakoof-review-oommusrtmnp,"Mar 21, 2024 09:10 AM",780 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,The name justify everything. They are making fool of us. I bought a t shift online when it got delivered I saw there is a hole in the T-shirt. Same day I requested for return pickup but it’s been almost 1 week it is not picked up and moreover I have been raising ticket everyday but getting no response. They mention like they will give us a call in next 15 min but I never received any call. Such a pathetic service,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/nilimd,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,nilimd,https://www.mouthshut.com/nilimd,India,1 Review,https://www.mouthshut.com/nilimd/reviews,,,Bought without checking reviews,https://www.mouthshut.com/review/bewakoof-review-ptrnullomnp,"Mar 02, 2024 12:33 PM",947 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,"My mistake!  First buy was an oversize t-shirt. Liked it. Bought two more t-shirts which were very ordinary material and a jogger..the jogger was wrong size. Tried for a week writing to their care@ bewakoof.com, the only customer care available, despite a promise of one-two day return pick up, I was told to self send after a week.",So terrible response !!,Never buying again,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/Parvez_76,https://www.mouthshut.com/Images/COMMON/male-80X80.gif,https://image3.mouthshut.com/images/Offline/Common/Images/Badge/beginner.png,Parvez_76,https://www.mouthshut.com/parvez_76,India,2 Reviews,https://www.mouthshut.com/parvez_76/reviews,,,Stitching problem,https://www.mouthshut.com/review/bewakoof-review-rpnrsqoqlnp,"Feb 04, 2024 03:05 PM",1065 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,I placed my first order in previous month and delivered with a slight delay of 3 days. The quality of the fabric is good but not the stitching for one of the 2 shorts. Over stitching at many please with threads out.,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/ronaldoeminem07,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,ronaldoeminem07,https://www.mouthshut.com/ronaldoeminem07,India,1 Review,https://www.mouthshut.com/ronaldoeminem07/reviews,,,"Bewakoof, the name itself reveals it's intentions",https://www.mouthshut.com/review/bewakoof-review-untnsnnqlnp,"Feb 03, 2024 10:39 PM",1168 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,"I saw an extraordinary Batman themed slipper on the app and instantly ordered it, paying online. However when the order was delivered, instead of the Batman slipper, there was a shitty black and white slipper, which looked like it was 5 years in use. Then I reached out to support email and asked them to make a return order. They asked me for the pictures of the tag, I submitted everything. But now they are telling me that my order can't be replaced and be careful next time !!",Next time!! Do you think any sane person would risk going there again. Imagine ordering a CK underwear online and you get a used one instead. Worst experience. Much more respect to amazon and meesho and a special mention of Zapvi who are the most honest.,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/raajeevthaakural,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,raajeevthaakural,https://www.mouthshut.com/raajeevthaakural,India,1 Review,https://www.mouthshut.com/raajeevthaakural/reviews,,,Worst experience,https://www.mouthshut.com/review/bewakoof-review-lllqultllnp,"Jan 19, 2024 12:50 AM",1286 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,Don't buy it from Bewakoof.com. They have cheated me. They are not refunding my money and giving the reason that some suspicious activity is reported on my account. Money from my wallet has been blocked and now it is showing zero and my account has been blocked and no response from them. Cheating with customers. Bad experience. Never expected this from them.,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/Dinesh3o,https://www.mouthshut.com/Images/COMMON/male-80X80.gif,https://image3.mouthshut.com/images/Offline/Common/Images/Badge/beginner.png,Dinesh3o,https://www.mouthshut.com/dinesh3o,India,2 Reviews,https://www.mouthshut.com/dinesh3o/reviews,,,Worst quality,https://www.mouthshut.com/review/bewakoof-review-qltsstollnp,"Jan 17, 2024 02:14 PM",1263 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,"I ordered 3 shirts white, blue and burgundy. All of these shirts are polyester made and none of them feels like actual cotton.",,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/rshivang12345,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,rshivang12345,https://www.mouthshut.com/rshivang12345,India,1 Review,https://www.mouthshut.com/rshivang12345/reviews,,,Wrost experience,https://www.mouthshut.com/review/bewakoof-review-lotorlmtump,"Jan 09, 2024 06:11 PM",1278 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,I ordered a Tshirt but it was oversized so I contacted support for replacement. And then they said you should've purchased after knowing your size and with proper measurement with inchtape.,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/poojam2790,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,poojam2790,https://www.mouthshut.com/poojam2790,India,1 Review,https://www.mouthshut.com/poojam2790/reviews,,,Pathetic Service,https://www.mouthshut.com/review/bewakoof-review-lnqpuqostmp,"Dec 04, 2023 04:47 PM",1624 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,Terrible website at all.,First of all they send wrong products to customer. When return request is placed and confirmed by team they dont come for pick up.,When I reached their support centre in regards to status of pickup of product they stated that,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/sudarsanaroy1,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,sudarsanaroy1,https://www.mouthshut.com/sudarsanaroy1,India,1 Review,https://www.mouthshut.com/sudarsanaroy1/reviews,,,Worthless Bewakoof,https://www.mouthshut.com/review/bewakoof-review-nsrtpnsrsmp,"Oct 25, 2023 12:51 AM",1871 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,"This is the worst shopping app. I had ordered 3tshirts on 9.10.23 which was supposed to be delivered by 14.10.23. But it got delayed. I even considered it as I understand there was Durga Puja rush but today it's 25.10.23 and I still didn't get the t-shirts. I used to get out for delivery updates where the delivery agent's numbers were provided sometimes they picked up and told me that my parcel will be delivered shortly which obviously didn't happen, and most of the time the delivery agents didn't receive my calls. I contacted the customer service on 18.10.23 and I was assured that I would get my parcel within next 48 hrs. But it never came and I also stopped tracking my order. Totally worthless app and very poor unhelpful service. The company is making people ""Bewakoof"". And even if the parcel come after this I am surely not accepting it and would warn people to never use this app.",,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/gazalk300,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,gazalk300,https://www.mouthshut.com/gazalk300,India,1 Review,https://www.mouthshut.com/gazalk300/reviews,,,Terrible customer service,https://www.mouthshut.com/review/bewakoof-review-rmomlponsmp,"Oct 09, 2023 05:03 PM",2015 Views,,,,Response Received,"Terrible, Terrible customer service. They are only doing a good job in advertising. Have poor customer service, don't even have a customer care helpline, you can just email them which they won't respond to.",And the people here saying they have good quality products must not have ever seen what good quality is. The products even LOOK like they would loose colour after a wash.,"I have purchased a few jeans. Returned them -because poor quality-, the delivery boy didn't take two products saying they are mismatched. Re-applied for return, the company kept scheduling pick-up and cancelling it without any contact. Messaged them on Insta, Mailed them multiple times but no response.",javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/maheye2439,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,maheye2439,https://www.mouthshut.com/maheye2439,,1 Review,https://www.mouthshut.com/maheye2439/reviews,,,Bewakoof banate hai customer ko,https://www.mouthshut.com/review/bewakoof-review-nrponmslsmp,"Oct 04, 2023 10:35 AM",1907 Views,,,,Response Received,"I have been emailing and messaging bewakoof for the past 10 days(ticket id 2690347) regarding the refund of my wallet money however there hasn't been a single response to my request for money transfer. Please note you are withholding my money illegally and there is no helpline or way to contact you. This shouldn't have been so unpleasant for a long time customer, it is terribly troubling to say the least. Please contact me if you are not a fraud company, thank you.",,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 1,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,
Latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reply as Brand,https://www.mouthshut.com/mamuzamil2,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,mamuzamil2,https://www.mouthshut.com/mamuzamil2,India,1 Review,https://www.mouthshut.com/mamuzamil2/reviews,,,Worst service don't buy,https://www.mouthshut.com/review/bewakoof-review-momoommurmp,"Sep 28, 2023 09:07 PM",1850 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,They won't respond and they give you worst service,"Don't buy from them, don't trust bewakoof.........",,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/anikbansal1,https://www.mouthshut.com/Images/COMMON/female-80X80.gif,https://image3.mouthshut.com/images/Offline/Common/Images/Badge/beginner.png,anikbansal1,https://www.mouthshut.com/anikbansal1,India,4 Reviews,https://www.mouthshut.com/anikbansal1/reviews,,,Fraud,https://www.mouthshut.com/review/bewakoof-review-pspsrptrrmp,"Sep 22, 2023 02:01 PM",1736 Views,,,,Response Received,They don't respond to exchange requests.,I wrote to inquire about the status of my product return request. I requested an update on when I can expect a response regarding this matter.,"I wrote a couple of times about the exchange, but they just don't bother.",javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
Reply as Brand,https://www.mouthshut.com/ababab17,https://www.mouthshut.com/Images/COMMON/no_gender_80.jpg,,ababab17,https://www.mouthshut.com/ababab17,India,1 Review,https://www.mouthshut.com/ababab17/reviews,,,Bewakoof banate hai customer ko,https://www.mouthshut.com/review/bewakoof-review-uolrpuosqmp,"Aug 24, 2023 05:45 PM",1902 Views,,,,Response Received,"I have been emailing and messaging bewakoof for the past 10 days(ticket id 2690347) regarding the refund of my wallet money however there hasn't been a single response to my request for money transfer. Please note you are withholding my money illegally and there is no helpline or way to contact you. This shouldn't have been so unpleasant for a long time customer, it is terribly troubling to say the least. Please contact me if you are not a fraud company, thank you.",,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reply as Brand,https://www.mouthshut.com/meeravigraham,https://www.mouthshut.com/Images/COMMON/female-80X80.gif,https://image3.mouthshut.com/images/Offline/Common/Images/Badge/beginner.png,meeravigraham,https://www.mouthshut.com/meeravigraham,India,5 Reviews,https://www.mouthshut.com/meeravigraham/reviews,1 Follower,https://www.mouthshut.com/account/trust_by.php?user=meeravigraham,Returns and Exchange are a big problem,https://www.mouthshut.com/review/bewakoof-review-lttnopurqmp,"Aug 23, 2023 03:52 PM",2050 Views,(via ),Mobile,https://www.mouthshut.com/review/apis.aspx,Response Received,The product quality is good. However their return and exchange process is very bad. They blame the courier always. I had bought so many things from them that needed no exchange. Then i bought a pink joggers. The size mentioned on website was for full joggers. What i got was three-fourth pants that came to just below my knees. So i am trying to return it. I keep getting a recorded call from them that courier told them I have cancelled the return pick-up!!!!  I have most certainly NOT cancelled return pick up and I have not received any call from any courier. So the joggers are still with me and they are useless.,,,javascript:;,https://www.mouthshut.com/APP_THEMES/images/review/flag.svg,Flag This Review,Irrelevant,Fake,Junk,Thank You! We appreciate your effort.,https://www.mouthshut.com/Images/COMMON/loading_ajax.gif,https://www.mouthshut.com/Images/like-icon.svg,Like,0,https://www.mouthshut.com/Images/comment-icon.svg,Comments 0,https://www.mouthshut.com/Images/share.png,Share,Submit,Update,View more comments,,,
